,eps_1,mse,lr_2,epoch,msle,_timestamp,Predictions,lr_1,train_loss,valid_loss,lr_0,mom_1,train_samples_per_sec,Inputs,_runtime,r2_score,raw_loss,mae,eps_2,mom_2,sqr_mom_0,Ground_Truth,wd_0,wd_1,_rmse,sqr_mom_1,sqr_mom_2,wd_2,_step,mom_0,_exp_rmspe,eps_0,pearsonr,spearmanr
38,1e-05,,4.0019561187681236e-05,0.7185000000000848,,1680019662.731467,,2.829810309591936e-05,0.020806100219488144,,2.0009780593840615e-05,0.9499979623762832,80.23772431778137,,7008.091267108917,,0.02677253447473049,,1e-05,0.9499979623762832,0.99,,0.01,0.01,,0.99,0.99,0.01,10058,0.9499979623762832,,1e-05,,
39,1e-05,,4.002207601343416e-05,0.763285714285824,,1680020038.1682835,,2.8299881346262754e-05,0.0223543681204319,,2.0011038006717076e-05,0.9499977004152672,82.3795752201626,,7383.528083562851,,0.029048144817352295,,1e-05,0.9499977004152672,0.99,,0.01,0.01,,0.99,0.99,0.01,10685,0.9499977004152672,,1e-05,,
40,1e-05,,4.002470787841872e-05,0.8075000000001343,,1680020406.2438838,,2.8301742355840505e-05,0.0182243213057518,,2.0012353939209356e-05,0.9499974262626647,92.0516029778788,,7751.603683948517,,0.009428108111023903,,1e-05,0.9499974262626647,0.99,,0.01,0.01,,0.99,0.99,0.01,11304,0.9499974262626647,,1e-05,,
41,1e-05,,4.002502362950032e-05,0.8126428571429943,,1680020448.8841586,,2.8301965625571472e-05,0.017826154828071594,,2.0012511814750155e-05,0.949997393371927,80.887620301459,,7794.243958711624,,0.01510678231716156,,1e-05,0.949997393371927,0.99,,0.01,0.01,,0.99,0.99,0.01,11376,0.949997393371927,,1e-05,,
42,1e-05,,4.002535466711545e-05,0.8180000000001402,,1680020494.0427697,,2.830219970451396e-05,0.017689568921923637,,2.0012677333557722e-05,0.9499973588888421,83.94501706319724,,7839.402569770813,,0.01780617982149124,,1e-05,0.9499973588888421,0.99,,0.01,0.01,,0.99,0.99,0.01,11451,0.9499973588888421,,1e-05,,
43,1e-05,,4.002611307343091e-05,0.8301428571430041,,1680020595.6944394,,2.8302735978762513e-05,0.01793329417705536,,2.001305653671545e-05,0.9499972798881843,84.07757312187336,,7941.05423951149,,0.03689340874552727,,1e-05,0.9499972798881843,0.99,,0.01,0.01,,0.99,0.99,0.01,11621,0.9499972798881843,,1e-05,,
44,1e-05,,4.0028324137827544e-05,0.8645714285715946,,1680020872.7010062,,2.830429943739102e-05,0.015475170686841011,,2.001416206891377e-05,0.9499970495689762,77.53630334532575,,8218.060806274414,,0.014156303368508816,,1e-05,0.9499970495689762,0.99,,0.01,0.01,,0.99,0.99,0.01,12103,0.9499970495689762,,1e-05,,
45,1e-05,,4.002880827837856e-05,0.8719285714287416,,1680020936.2538583,,2.8304641776457683e-05,0.016807766631245613,,2.0014404139189275e-05,0.9499969991376689,80.09196559945632,,8281.613658428192,,0.009142867289483547,,1e-05,0.9499969991376689,0.99,,0.01,0.01,,0.99,0.99,0.01,12206,0.9499969991376689,,1e-05,,
46,1e-05,,4.003275354576776e-05,0.929714285714488,,1680021421.7581694,,2.830743150178219e-05,0.01420566812157631,,2.0016376772883878e-05,0.9499965881723158,80.76794158855833,,8767.11796951294,,0.010367301292717457,,1e-05,0.9499965881723158,0.99,,0.01,0.01,,0.99,0.99,0.01,13015,0.9499965881723158,,1e-05,,
47,1e-05,,4.003277871357326e-05,0.930071428571631,,1680021424.8844676,,2.830744929810812e-05,0.013834945857524872,,2.0016389356786625e-05,0.9499965855506695,79.90070340095156,,8770.244267702103,,0.02276964858174324,,1e-05,0.9499965855506695,0.99,,0.01,0.01,,0.99,0.99,0.01,13020,0.9499965855506695,,1e-05,,
48,1e-05,,4.003514097623975e-05,0.9630000000002208,,1680021700.5212905,,2.830911967005854e-05,0.015997231006622314,,2.001757048811987e-05,0.9499963394816416,81.16813115957278,,9045.881090641022,,0.03412633389234543,,1e-05,0.9499963394816416,0.99,,0.01,0.01,,0.99,0.99,0.01,13481,0.9499963394816416,,1e-05,,
49,1e-05,,4.00357062708554e-05,0.9707142857145108,,1680021765.1099448,,2.8309519393714635e-05,0.016169903799891472,,2.0017853135427695e-05,0.9499962805967859,86.23726080291463,,9110.46974492073,,0.010820922441780567,,1e-05,0.9499962805967859,0.99,,0.01,0.01,,0.99,0.99,0.01,13589,0.9499962805967859,,1e-05,,
50,1e-05,,4.0039099226636104e-05,1.0157857142856985,,1680022697.7704291,,2.8311918575755438e-05,0.01428308803588152,,2.001954961331805e-05,0.949995927163892,188.06658732723704,,10043.130229234695,,0.018269501626491547,,1e-05,0.949995927163892,0.99,,0.01,0.01,,0.99,0.99,0.01,14220,0.949995927163892,,1e-05,,
51,1e-05,,4.0044615289477e-05,1.0850714285713436,,1680023055.0613918,,2.8315819021195688e-05,0.012055114842951298,,2.0022307644738497e-05,0.9499953525740128,188.00990342132192,,10400.42119193077,,0.01953011564910412,,1e-05,0.9499953525740128,0.99,,0.01,0.01,,0.99,0.99,0.01,15190,0.9499953525740128,,1e-05,,
52,1e-05,,4.004640693215671e-05,1.1066428571427507,,1680023165.7791753,,2.8317085903883972e-05,0.013161239214241505,,2.002320346607835e-05,0.949995165944567,192.9988462297619,,10511.138975381851,,0.008874056860804558,,1e-05,0.949995165944567,0.99,,0.01,0.01,,0.99,0.99,0.01,15492,0.949995165944567,,1e-05,,
53,1e-05,,4.004696576905256e-05,1.1132857142856012,,1680023200.6992698,,2.8317481061242606e-05,0.011797798797488213,,2.0023482884526278e-05,0.9499951077323903,204.79934464187528,,10546.059069871902,,0.004517894238233566,,1e-05,0.9499951077323903,0.99,,0.01,0.01,,0.99,0.99,0.01,15585,0.9499951077323903,,1e-05,,
54,1e-05,,4.005247015742668e-05,1.1767142857141093,,1680023573.0257647,,2.8321373251588225e-05,0.011025547981262207,,2.0026235078713336e-05,0.9499945343586014,186.81407854259825,,10918.385564804077,,0.011549321934580803,,1e-05,0.9499945343586014,0.99,,0.01,0.01,,0.99,0.99,0.01,16473,0.9499945343586014,,1e-05,,
55,1e-05,,4.005384871663794e-05,1.1920714285712368,,1680023653.5145245,,2.832234804015478e-05,0.010785608552396297,,2.0026924358318967e-05,0.9499943907586835,185.96174766957557,,10998.874324560165,,0.003622220829129219,,1e-05,0.9499943907586835,0.99,,0.01,0.01,,0.99,0.99,0.01,16688,0.9499943907586835,,1e-05,,
56,1e-05,,4.00547234632089e-05,1.2017142857140843,,1680023703.744247,,2.8322966579386928e-05,0.010925562120974064,,2.0027361731604448e-05,0.9499942996392491,179.81690143924808,,11049.104047060013,,0.004866808652877808,,1e-05,0.9499942996392491,0.99,,0.01,0.01,,0.99,0.99,0.01,16823,0.9499942996392491,,1e-05,,
57,1e-05,,4.00553105392513e-05,1.2081428571426494,,1680023737.3521018,,2.8323381704837574e-05,0.010623368434607983,,2.0027655269625646e-05,0.9499942384854946,194.46137541218502,,11082.711901903152,,0.0075056226924061775,,1e-05,0.9499942384854946,0.99,,0.01,0.01,,0.99,0.99,0.01,16913,0.9499942384854946,,1e-05,,
58,1e-05,,4.005699756910668e-05,1.2264285714283454,,1680023832.4016411,,2.8324574615088383e-05,0.010073808953166008,,2.0028498784553338e-05,0.949994062753218,188.34364711065504,,11177.761441230774,,0.00472982507199049,,1e-05,0.949994062753218,0.99,,0.01,0.01,,0.99,0.99,0.01,17169,0.949994062753218,,1e-05,,
59,1e-05,,4.005877733698184e-05,1.2454285714283264,,1680023930.4379106,,2.8325833101021845e-05,0.008553607389330864,,2.0029388668490917e-05,0.949993877360731,190.62710359974335,,11275.79771065712,,0.003213657531887293,,1e-05,0.949993877360731,0.99,,0.01,0.01,,0.99,0.99,0.01,17435,0.949993877360731,,1e-05,,
60,1e-05,,4.0064443104955934e-05,1.304071428571125,,1680024233.4801192,,2.8329839403976953e-05,0.009777635335922241,,2.0032221552477963e-05,0.9499932871765671,199.58623279238265,,11578.83991932869,,0.007145652547478676,,1e-05,0.9499932871765671,0.99,,0.01,0.01,,0.99,0.99,0.01,18256,0.9499932871765671,,1e-05,,
61,1e-05,,4.0065158112051165e-05,1.3112857142854035,,1680024270.8823028,,2.8330344990342593e-05,0.008094477467238903,,2.003257905602558e-05,0.9499932126966613,193.9509134472174,,11616.242102861404,,0.005663111340254545,,1e-05,0.9499932126966613,0.99,,0.01,0.01,,0.99,0.99,0.01,18357,0.9499932126966613,,1e-05,,
62,1e-05,,4.006552776867632e-05,1.3149999999996855,,1680024289.9736314,,2.8330606377048947e-05,0.007944946177303791,,2.0032763884338156e-05,0.9499931741907628,190.2804734174553,,11635.333431482315,,0.0026311634574085474,,1e-05,0.9499931741907628,0.99,,0.01,0.01,,0.99,0.99,0.01,18409,0.9499931741907628,,1e-05,,
63,1e-05,,4.006689454806929e-05,1.328642857142529,,1680024360.0654976,,2.83315728360261e-05,0.008127877488732338,,2.0033447274034642e-05,0.9499930318179094,200.689619704808,,11705.425297737122,,0.009707346558570862,,1e-05,0.9499930318179094,0.99,,0.01,0.01,,0.99,0.99,0.01,18600,0.9499930318179094,,1e-05,,
64,1e-05,,4.006886529020336e-05,1.348071428571081,,1680024460.5313754,,2.833296636115307e-05,0.008460099808871746,,2.0034432645101675e-05,0.9499928265322705,180.1343351810078,,11805.8911755085,,0.007507109083235264,,1e-05,0.9499928265322705,0.99,,0.01,0.01,,0.99,0.99,0.01,18872,0.9499928265322705,,1e-05,,
65,1e-05,,4.0069567672196405e-05,1.354928571428217,,1680024497.342634,,2.833346302022334e-05,0.008236818015575409,,2.00347838360982e-05,0.9499927533674795,188.64498664050993,,11842.702434062958,,0.009519601240754128,,1e-05,0.9499927533674795,0.99,,0.01,0.01,,0.99,0.99,0.01,18968,0.9499927533674795,,1e-05,,
66,1e-05,,4.0070709257865656e-05,1.3659999999996346,,1680024584.6993988,,2.833427024319137e-05,0.008047503419220448,,2.0035354628932824e-05,0.9499926344523056,158.3449782868757,,11930.059198856354,,0.00845317728817463,,1e-05,0.9499926344523056,0.99,,0.01,0.01,,0.99,0.99,0.01,19123,0.9499926344523056,,1e-05,,
67,1e-05,,4.007086463981499e-05,1.3674999999996331,,1680024595.9988096,,2.8334380114821418e-05,0.008653904311358929,,2.003543231990749e-05,0.9499926182666859,91.50650882922493,,11941.358609676361,,0.005840681027621031,,1e-05,0.9499926182666859,0.99,,0.01,0.01,,0.99,0.99,0.01,19144,0.9499926182666859,,1e-05,,
68,1e-05,,4.0072600067702354e-05,1.3841428571424736,,1680024714.611668,,2.8335607247648838e-05,0.007132192607969046,,2.0036300033851174e-05,0.9499924374929476,145.31708869955656,,12059.97146821022,,0.0021452121436595917,,1e-05,0.9499924374929476,0.99,,0.01,0.01,,0.99,0.99,0.01,19377,0.9499924374929476,,1e-05,,
69,1e-05,,4.00767567160053e-05,1.4232142857138632,,1680025005.7553165,,2.8338546441850856e-05,0.007554931566119194,,2.0038378358002647e-05,0.9499920045087494,151.91313227355948,,12351.115116596222,,0.010244188830256462,,1e-05,0.9499920045087494,0.99,,0.01,0.01,,0.99,0.99,0.01,19924,0.9499920045087494,,1e-05,,
70,1e-05,,4.007723515162218e-05,1.4276428571424302,,1680025041.5650713,,2.8338884746919914e-05,0.007127773482352495,,2.0038617575811088e-05,0.9499919546717059,92.67786910403429,,12386.924871444702,,0.008669568225741386,,1e-05,0.9499919546717059,0.99,,0.01,0.01,,0.99,0.99,0.01,19986,0.9499919546717059,,1e-05,,
71,1e-05,,4.007728926253532e-05,1.4281428571424297,,1680025045.7689655,,2.833892300911353e-05,0.006977806333452463,,2.0038644631267657e-05,0.9499919490351525,121.24302899956959,,12391.128765583038,,0.00778949074447155,,1e-05,0.9499919490351525,0.99,,0.01,0.01,,0.99,0.99,0.01,19993,0.9499919490351525,,1e-05,,
